My Chemical Romance:,,links
,Welcome To The Black Parade,https://www.youtube.com/watch?v=EkJ2NL6xpcc
,I'm Not Okay I Promise,https://www.youtube.com/watch?v=GO7T7vaW7L4
,The Ghost Of You,https://www.youtube.com/watch?v=Zjj7hqMSL7U
,Helena,https://www.youtube.com/watch?v=dKHgqVOAOJ4
,"It's Not A Fashion Statement, It's A Deathwish",https://www.youtube.com/watch?v=4oDa4Y9VDiw&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=17
,Hang Em High,https://www.youtube.com/watch?v=bbSrSsGGt4E&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=16
,"Give 'Em Hell, Kid",https://www.youtube.com/watch?v=-NvigSUKi4M&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=13
,You Know What They Do To Guys Like Us In Prison,https://www.youtube.com/watch?v=AOc8F5pw1_Q
,Famous Last Words,https://www.youtube.com/watch?v=U2VJo4bA9y8
,Teenagers,https://www.youtube.com/watch?v=ixGt1ajjOyA
,Mama,https://www.youtube.com/watch?v=1kBDID9rZDM
,Thank You For The Venom,https://www.youtube.com/watch?v=SeLacxciGC4&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=15
,Disenchanted,https://www.youtube.com/watch?v=pGPKeD8W2GU&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=24
,Cemetery Drive,https://www.youtube.com/watch?v=eCcrc3Bsoy4&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=2
,Dead!,https://www.youtube.com/watch?v=92qBGFOnOzA&list=PLFmucNG7mUOnztx3VSPbufHHbZq_36k8d&index=29
,,
Paramore,,
,Misery Business,https://www.youtube.com/watch?v=dZUHFTH2wYY
,Crushcrushcrush,https://www.youtube.com/watch?v=4KXupXvcuzM
,That's What You Get,https://www.youtube.com/watch?v=A8eCkTkqaw8
,Decode,https://www.youtube.com/watch?v=v7wOHjS6Mvc
,Conspiracy,https://www.youtube.com/watch?v=DF5eqHt0XM8
,The Only Exception,https://www.youtube.com/watch?v=Xnr5T7z0vPk&list=PLFmucNG7mUOm0PQWTniIKEwsqF3yd9HKx&index=5
,Emergency,https://www.youtube.com/watch?v=ZL8sczzlIVg&list=PLFmucNG7mUOm0PQWTniIKEwsqF3yd9HKx&index=7
,Ain't It Fun,https://www.youtube.com/watch?v=bisezM0qB9o&list=RD4KXupXvcuzM&index=6
,Pressure,https://www.youtube.com/watch?v=zr_D2Pq8lUE&list=RD4KXupXvcuzM&index=18
,Fences,https://www.youtube.com/watch?v=CNqnaGGU7yk&list=PLFmucNG7mUOm0PQWTniIKEwsqF3yd9HKx&index=17
,Ignorance,https://www.youtube.com/watch?v=x8Zp35yvfc0&list=PLFmucNG7mUOm0PQWTniIKEwsqF3yd9HKx&index=33
,"For A Pessimist, I'm Pretty Optimistic",https://www.youtube.com/watch?v=cXX2lv-aM4w&list=RD4KXupXvcuzM&index=20
,,
Afi,,
,Girl's Not Grey,https://www.youtube.com/watch?v=YWpoZg5coyU
,Miss Murder,https://www.youtube.com/watch?v=QUOAGCgaoZ8
,Beautiful Thieves,https://www.youtube.com/watch?v=uhzqgoFACZ4&list=PLFmucNG7mUOnghRdev0-UcXlNPfyoFOlU&index=2
,End Transmission ,https://www.youtube.com/watch?v=STRIQpgNPn0&list=PLFmucNG7mUOnghRdev0-UcXlNPfyoFOlU&index=7
,Medicate,https://www.youtube.com/watch?v=uQslc8Rkk8A&list=PLFmucNG7mUOnghRdev0-UcXlNPfyoFOlU&index=4
